customer_ID,primary_persona,primary_persona_confidence,secondary_persona,secondary_persona_confidence,recommended_card_1,card_1_score,card_1_match_reasons,recommended_card_2,card_2_score,card_2_match_reasons,Age,Income,avg_transaction,total_spend,transaction_count,avg_sentiment,unique_intents
CUST2025UE,Active Middle-Aged Professionals,0.4237928941752406,High-Value Real Estate Investors,0.386567919541987,Wells Fargo Autograph℠ Card,1.9837632719797729,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6531360599831442,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",46,111721.13,34919.455625,558711.29,16,-0.1366666666666667,2
CUST2025QB,Active Middle-Aged Professionals,0.41624611621224045,High-Value Real Estate Investors,0.39954473922127,Wells Fargo Autograph℠ Card,1.9970560141012335,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6642133450843613,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",65,108851.45,58491.376363636366,643405.14,11,-0.13999999999999999,2
CUST2025UI,Active Middle-Aged Professionals,0.44534308565962144,High-Value Real Estate Investors,0.18942414048521208,Wells Fargo Autograph℠ Card,1.5539101696025523,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.2949251413354603,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",46,154548.09,2694.7920000000004,40421.880000000005,15,-0.17333333333333334,2
CUST2025SB,Active Middle-Aged Professionals,0.4126927842719822,High-Value Real Estate Investors,0.39646918073870446,Wells Fargo Autograph℠ Card,1.9808284903461608,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6506904086218008,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",57,119660.66,52971.545625,847544.73,16,-0.64,1
CUST2025LU,Active Middle-Aged Professionals,0.47261456094777893,High-Value Real Estate Investors,0.3313311433363303,Wells Fargo Autograph℠ Card,1.9680590840874994,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.640049236739583,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",56,119181.6,15395.382857142857,215535.36,14,0.03,1
CUST2025TT,Active Middle-Aged Professionals,0.4132895580996411,High-Value Real Estate Investors,0.1700246787256344,Wells Fargo Autograph℠ Card,1.4279532517482743,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.1899610431235619,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",43,79270.46,759.4715384615386,9873.130000000001,13,0.8666666666666667,1
CUST2025LI,Active Middle-Aged Professionals,0.43139464365892005,High-Value Real Estate Investors,0.3785287232961943,Wells Fargo Autograph℠ Card,1.98269240230612,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6522436685884334,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",54,127793.53,31135.94588235294,529311.08,17,0.98,1
CUST2025VJ,Active Middle-Aged Professionals,0.4330169622727957,High-Value Real Estate Investors,0.3740527135944703,Wells Fargo Autograph℠ Card,1.975706566523067,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6464221387692226,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",24,159240.65,29344.155909090907,645571.4299999999,22,-0.165,3
CUST2025DA,Active Middle-Aged Professionals,0.40563380877550204,High-Value Real Estate Investors,0.4044249174849501,Wells Fargo Autograph℠ Card,1.9830237618855866,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.6525198015713223,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",62,140584.85,92813.08142857142,1299383.14,14,0.22249999999999998,2
CUST2025CQ,Active Middle-Aged Professionals,0.4478625572415706,High-Value Real Estate Investors,0.36200649129736523,Wells Fargo Autograph℠ Card,1.9825594308233148,"Matches Active Middle-Aged Professionals preference for Everyday Rewards; Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 3.0% back on dining, 3.0% back on gas, 3.0% back on streaming",Wells Fargo Active Cash® Card,1.652132859019429,"Matches Active Middle-Aged Professionals spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other; Matches High-Value Real Estate Investors spending with 2.0% back on travel, 2.0% back on dining, 2.0% back on gas, 2.0% back on streaming, 2.0% back on other",28,107189.62,19423.01875,310768.3,16,-0.5666666666666667,2
